"cve","descrip"
"1","Jefa(e)"
"2","Cónyuge"
"3","Jefa(e) y cónyuge"
"4","Entre todas las personas del hogar"
"5","Otra(s) persona(s) del hogar"
"6","Persona(s) de otro hogar"
"7","Contrata(n) a alguien más"
"8","No ha ocurrido"
