"cve","descrip"
"1","Localidades con una población de entre 100 000 y más habitantes"
"2","Localidades con una población de entre 15 000 y 99 999 habitantes"
"3","Localidades con una población de entre 2 500 y 14 999 habitantes"
"4","Localidades con una población de menos de 2 500 habitantes"
